;Npath;FP;ALT;BI;BII
start;1;13;;;
step 1;1;14;12;8;18
step 2;1;15;19;9;13
step 3;1;10;20;14;14
step 4;1;9;5;15;15
start;2;13;;;
step 1;2;14;18;8;12
step 2;2;15;19;9;13
step 3;2;10;20;14;14
step 4;2;9;5;15;15
start;3;13;;;
step 1;3;8;18;12;14
step 2;3;3;7;9;13
step 3;3;4;2;8;8
step 4;3;9;5;3;3
start;4;13;;;
step 1;4;8;12;14;18
step 2;4;3;7;9;13
step 3;4;4;2;8;8
step 4;4;9;5;3;3
start;5;13;;;
step 1;5;14;12;8;18
step 2;5;15;9;13;19
step 3;5;20;10;14;14
step 4;5;19;25;15;15
start;6;13;;;
step 1;6;14;8;12;18
step 2;6;15;9;13;19
step 3;6;20;10;14;14
step 4;6;19;25;15;15
start;7;13;;;
step 1;7;18;8;12;14
step 2;7;23;17;13;19
step 3;7;24;22;18;18
step 4;7;19;25;23;23
start;8;13;;;
step 1;8;18;12;8;14
step 2;8;23;17;13;19
step 3;8;24;22;18;18
step 4;8;19;25;23;23
start;9;13;;;
step 1;9;12;14;8;18
step 2;9;11;17;7;13
step 3;9;6;16;12;12
step 4;9;7;1;11;11
start;10;13;;;
step 1;10;12;18;8;14
step 2;10;11;17;7;13
step 3;10;6;16;12;12
step 4;10;7;1;11;11
start;11;13;;;
step 1;11;8;18;12;14
step 2;11;3;9;7;13
step 3;11;2;4;8;8
step 4;11;7;1;3;3
start;12;13;;;
step 1;12;8;14;12;18
step 2;12;3;9;7;13
step 3;12;2;4;8;8
step 4;12;7;1;3;3
start;13;13;;;
step 1;13;12;14;8;18
step 2;13;11;7;13;17
step 3;13;16;6;12;12
step 4;13;17;21;11;11
start;14;13;;;
step 1;14;12;8;14;18
step 2;14;11;7;13;17
step 3;14;16;6;12;12
step 4;14;17;21;11;11
start;15;13;;;
step 1;15;18;8;12;14
step 2;15;23;19;13;17
step 3;15;22;24;18;18
step 4;15;17;21;23;23
start;16;13;;;
step 1;16;18;14;8;12
step 2;16;23;19;13;17
step 3;16;22;24;18;18
step 4;16;17;21;23;23
start;17;13;;;
step 1;17;8;12;14;18
step 2;17;9;7;3;13
start;18;13;;;
step 1;18;14;18;8;12
step 2;18;9;19;13;15
start;19;13;;;
step 1;19;18;12;8;14
step 2;19;19;17;13;23
start;20;13;;;
step 1;20;18;14;8;12
step 2;20;17;19;13;23
start;21;13;;;
step 1;21;12;8;14;18
step 2;21;17;7;11;13
start;22;13;;;
step 1;22;8;14;12;18
step 2;22;7;9;3;13
start;23;13;;;
step 1;23;14;12;8;18
step 2;23;19;9;13;15
start;24;13;;;
step 1;24;12;14;8;18
step 2;24;7;17;11;13